what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335858263757
java.specification.version,sysinfo,,,"1.6",1335858263757
java.vendor,sysinfo,,,"Apple Inc.",1335858263757
java.version,sysinfo,,,"1.6.0_31",1335858263757
java.vm.info,sysinfo,,,"mixed mode",1335858263757
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1335858263757
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1335858263757
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1335858263757
java.vm.specification.version,sysinfo,,,"1.0",1335858263757
java.vm.vendor,sysinfo,,,"Apple Inc.",1335858263757
java.vm.version,sysinfo,,,"20.6-b01-415",1335858263757
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1335858263772
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1335858265104
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858266772
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335858266784
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1335858267601
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1335858269971
started,bundle,org.eclipse.jdt.debug,3.7.1.v20110802_r371,"org.eclipse.jdt.debug",1335858270092
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20110803_r371,"org.eclipse.jdt.debug.ui",1335858270141
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858272187
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858278524
started,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1335858278764
opened,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1335858279024
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1335858279134
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858285511
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858384121
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335858387230
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858391853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858479685
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858481163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858717910
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1335858727333
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858731813
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858745137
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858747237
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858753959
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858762855
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858780213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858786231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858821373
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335858826035
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335859882573
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1335859882997
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1335859883530
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1335859884027
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1335859884274
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1335859884276
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1335859884277
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1335859884281
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1335859884283
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1335859884286
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1335859884286
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1335859884286
stopped,bundle,org.eclipse.ui.cheatsheets,3.4.100.v20110425,"org.eclipse.ui.cheatsheets",1335859884287
stopped,bundle,org.eclipse.help.ui,3.5.101.r37_20110819,"org.eclipse.help.ui",1335859884289
stopped,bundle,org.eclipse.help.webapp,3.6.0.v20110518,"org.eclipse.help.webapp",1335859884291
stopped,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1335859884292
stopped,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1335859884293
stopped,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1335859884294
stopped,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1335859884296
stopped,bundle,org.eclipse.help.base,3.6.1.v201109091335,"org.eclipse.help.base",1335859884299
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.100.v20110502,"org.eclipse.equinox.http.jetty",1335859884300
stopped,bundle,org.eclipse.m2e.core.ui,1.0.100.20110804-1717,"org.eclipse.m2e.core.ui",1335859884302
stopped,bundle,org.eclipse.m2e.core,1.0.100.20110804-1717,"org.eclipse.m2e.core",1335859884303
